Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-9,128,3,100,0.0005,val_accuracy,0.2769097201526165
DNN-1,64,5,100,0.0001,val_accuracy,0.2769097201526165
DNN-5,128,5,50,0.0001,val_accuracy,0.2769097186004122
DNN-4,128,5,100,0.001,val_accuracy,0.27662037188808125
DNN-1,128,10,50,0.0001,val_accuracy,0.2766203712671995
DNN-9,128,5,50,0.0001,val_accuracy,0.2766203706463178
DNN-1,64,10,50,0.0001,val_accuracy,0.2766203700254361
DNN-1,128,10,100,0.0005,val_accuracy,0.27662036878367263
DNN-7,64,5,100,0.0005,val_accuracy,0.2763310211400191
DNN-4,64,3,100,0.001,val_accuracy,0.27633101927737397
DNN-1,128,5,100,0.0001,val_accuracy,0.27633101927737397
DNN-9,64,3,50,0.0001,val_accuracy,0.2763310189669331
DNN-1,64,3,50,0.001,val_accuracy,0.27604166852931183
DNN-7,128,3,50,0.001,val_accuracy,0.2760416679084301
DNN-4,128,10,50,0.001,val_accuracy,0.27604166604578495
DNN-4,128,10,50,0.0005,val_accuracy,0.27604166604578495
DNN-9,128,3,100,0.0001,val_accuracy,0.2760416654249032
DNN-8,64,3,50,0.001,val_accuracy,0.2757523140559594
DNN-7,64,3,100,0.001,val_accuracy,0.27575231219331425
DNN-8,128,10,50,0.0001,val_accuracy,0.2754629645496607
DNN-5,128,3,50,0.0001,val_accuracy,0.27546296268701553
DNN-9,64,5,50,0.0001,val_accuracy,0.27546296268701553
DNN-5,128,10,50,0.001,val_accuracy,0.2754629620661338
DNN-1,64,5,50,0.0005,val_accuracy,0.27517361224939424
DNN-1,128,5,100,0.001,val_accuracy,0.2751736097658674
DNN-4,64,5,50,0.0005,val_accuracy,0.27488426119089127
DNN-0,128,10,50,0.0005,val_accuracy,0.27488425994912785
DNN-7,64,5,50,0.0005,val_accuracy,0.2748842587073644
DNN-1,64,3,50,0.0001,val_accuracy,0.2748842580864827
DNN-0,64,5,100,0.0001,val_accuracy,0.2745949092010657
DNN-1,64,5,50,0.0001,val_accuracy,0.2745949060966571
DNN-1,128,5,100,0.0005,val_accuracy,0.2743055559694767
DNN-6,128,5,50,0.0001,val_accuracy,0.2743055534859498
DNN-4,128,3,50,0.001,val_accuracy,0.2743055534859498
DNN-1,64,3,100,0.0005,val_accuracy,0.27401620087524253
DNN-8,64,3,100,0.0001,val_accuracy,0.2737268538524707
DNN-1,128,5,50,0.0005,val_accuracy,0.2737268526107073
DNN-4,64,10,100,0.0005,val_accuracy,0.2734375024835269
DNN-0,128,5,100,0.0001,val_accuracy,0.273148146768411
DNN-3,64,3,50,0.0005,val_accuracy,0.27285879477858543
DNN-8,128,3,100,0.0001,val_accuracy,0.27199074408660334
DNN-7,128,10,50,0.0005,val_accuracy,0.27170138992369175
DNN-6,64,3,50,0.0001,val_accuracy,0.27170138868192834
DNN-1,128,5,50,0.0001,val_accuracy,0.27141203669210273
DNN-6,128,3,100,0.0001,val_accuracy,0.2711226853231589
DNN-7,64,3,50,0.0005,val_accuracy,0.2705439825852712
DNN-4,128,5,100,0.0005,val_accuracy,0.2693865764886141
DNN-3,128,3,100,0.0001,val_accuracy,0.26909722201526165
DNN-4,64,5,100,0.0005,val_accuracy,0.2688078706463178
DNN-1,128,3,100,0.0001,val_accuracy,0.2688078700254361
DNN-4,64,3,100,0.0005,val_accuracy,0.2685185205191374
DNN-0,128,5,100,0.0005,val_accuracy,0.26822916604578495
DNN-6,128,3,50,0.0001,val_accuracy,0.26822916604578495
DNN-7,128,3,100,0.001,val_accuracy,0.2682291657353441
DNN-0,128,10,100,0.0005,val_accuracy,0.26793981281419593
DNN-7,128,5,100,0.0005,val_accuracy,0.26736111131807166
DNN-4,128,10,100,0.0005,val_accuracy,0.2670717593282461
DNN-0,64,10,100,0.0005,val_accuracy,0.2670717593282461
DNN-6,64,3,100,0.0001,val_accuracy,0.266782408580184
DNN-0,128,5,50,0.0005,val_accuracy,0.26649305410683155
DNN-0,64,3,100,0.0001,val_accuracy,0.266203702117006
DNN-0,64,10,50,0.0005,val_accuracy,0.26591435136894387
DNN-7,64,3,100,0.0005,val_accuracy,0.2653356473892927
DNN-0,128,3,50,0.0005,val_accuracy,0.26475694465140504
DNN-1,128,3,50,0.001,val_accuracy,0.26475694340964157
DNN-1,128,3,100,0.0005,val_accuracy,0.2644675939033429
